full_text,compound,polarity
PETA PERSEBARAN TITIK KUMPUL GEMPA TSUNAMI PALU DONGGALA 2018 - https://t.co/moOwKG5yxa #palu #donggala #sigi #prayforpalu #prayforsulteng #peta sebaran #pengungsi #gempa #tsunami #Indonesia,-3,negative
Kalo ada video ttg gempa palu jangan dulu di skip. Tonton supaya kita ikut merasakan.. Iyegayega.. hmm.. #PrayForPalu #PrayForDonggala #YukDonasi:) https://t.co/q4QEfExC2x,-4,negative
Ini Rekaman Lengkap Korban Gempa Palu Kecewa Jokowi Gak Percaya Wartawan https://t.co/1QsFILzJbQ lewat @repelitaonline,-3,negative
Ternyata bkn saja bencana gempa dan tsunami yg menerjang Palu &amp; Donggala; tapi juga bencana mental yg merusak akal sehat &amp; nilai2 kemanusiaan. Kemana rasa syukur &amp; kebersamaan?! Dulu Aceh pasca gempa 8.9 &amp; tsumani yg lbh dahsyat jg masih dlm konflik dgn GAM gak separah ini?!!,-5,negative
 Ampuni kami ya Allah Kalau lah gempa Lombok yg Krn kesombongan kami menolak bantuan luar dan tdk menetapkan bencana nasional cukuplah palu dan Donggala jadi hukuman bagi kami.. Hanya Engkau yg maha sempurna ya Allah.. ampunilah kami..,-1,negative
Info gempa palu Rektor Universitas Tadulako baru saja mengeluarkan surat edaran membuka posko 1 area dalam kampus dekat gerbang utama kampus #gempapalu #GempaSulteng #palu #indovwt322 #gempa,-2,negative
H-3 baksos galang dana untuk bencana Alam gempa &amp; tsunami palu &amp; donggala Rp.1.539.900 Total keseluruhan dana yang torang dapa dari tanggal 29 september - 01 Oktober 2018 (3 hari) Rp.11.068.400.- + $1 Dana... https://t.co/ve15tXMCg8,-5,negative
Bagaimana mungkin Tuhan lebih mencintai Sugik Nur yang berdakwah dgn kalimat sucinya jancuk matamu picek dobol sehingga harus menimpakan azab kepada ribuan warga Palu dgn gempa dan tsunami hanya karena Sugik jadi tersangka ? Tuhannya FPI emang beda..#TetapNKRItetapPansilac,-18,negative
Video Amatir Liputan Dampak Gempa Palu &amp; Tsunami di Palu yang terjadi pada 28 September 2018. @ Palu https://t.co/ROgpTN6Q30,-5,negative
@Hey_yyuk Tp apakah seasar palu koro ini jadi pemicu beberapa sesar lain di sulawesi ikut aktif? Seperti gempa di Sinjai? Saya jadi berpikiran kesitu soalnya seingat saya di sinjai belum pernah ada gempa sebelumnya.,-4,negative
Bagaimana mungkin Tuhan lebih mencintai Sugik Nur yang berdakwah dgn kalimat sucinya jancuk matamu picek dobol sehingga harus menimpakan azab kepada ribuan warga Palu dgn gempa dan tsunami hanya karena Sugik jadi tersangka ? Tuhannya FPI emang beda..,-18,negative
Lebih dari 1.700 Rumah di Palu Rusak Parah akibat Gempa https://t.co/nGUh3Ue7Q3 lewat @repelitaonline,-8,negative
fenomena lekuifaksi di #petobo akibat gempa bumi dan tsunami di #palu #sulteng. Satu kawasan kecamatan/desa lenyap di telan bumi. Besar kemungkinan banyak korban tewas tertimbun disana. إنا لله وإنا اليه راجعون https://t.co/3QOYvyoHps,-17,negative
@ansharaminullah Gempa lagi barusan bosku. Ada WA dari teman di Palu dikirim ke group.,-4,negative
KPK Ingatkan Bantuan Korban Gempa dan Tsunami Palu Harus Dipertanggung-Jawabkan https://t.co/wMMvRHD9vO lewat @CYBERSULUT.NET,-3,negative
@RadioElshinta @infoBMKG Kejahatan pencurian dan penjarahan ditengah bencana alam gempa bumi 7 4 SR disusul Gelombang Tsunami di Kota Palu dan Kabupaten Donggala Sulawesi Tengah tetaplah Kejahatan yang tidak bisa dibiarkan apalagi yg di curi bukan makanan atau minuman. #gempabumi #tsunami @RadioElshinta,-15,negative
Ilmuwan Dunia Tak Menduga Gempa Palu Bisa Picu Tsunami Yang Dahsyat! https://t.co/k4oljlbfCX lewat @CYBERSULUT.NET,-3,negative
@Sutopo_PN Pemerintah izinkan korban gempa di Palu ambil barang minimarket. Pemerintah akan bayar barang yang diambil warga. Keputusan ini diambil karena warga kesulitan dapat makanan dan minuman. Mendagri pun bantah adanya penjarahan oleh warga di Palu. https://t.co/Ijy8y3s6ey,-23,negative
Korban Gempa Banyak yang Patah Tulang Menkes Kirim Tim Ortopedi ke Palu https://t.co/sjza01cyip https://t.co/KSlkASrYx1,-5,negative
Tim Basarnas dan TNI menemukan korban gempa Palu yang selamat. Korban bernama Sapri Nusin sebagai manajer Mandala Finance. Korban terjebak di beton gedung kantornya yang ambruk. https://t.co/Hm63IMopua,-9,negative
Gempa Palu 2 Kelurahan Ini Tertimbun Tanah Bak Ditelan Bumi https://t.co/XPcOYODcIH lewat @repelitaonline,-3,negative
@WartaEkonomi Kejahatan pencurian dan penjarahan ditengah bencana alam gempa bumi 7 4 SR disusul Gelombang Tsunami di Kota Palu dan Kabupaten Donggala Sulawesi Tengah tetaplah Kejahatan yang tidak bisa dibiarkan apalagi yg di curi bukan makanan atau minuman. #gempabumi #tsunami,-15,negative
@infoBMKG Pemerintah izinkan korban gempa di Palu ambil barang minimarket. Pemerintah akan bayar barang yang diambil warga. Keputusan ini diambil karena warga kesulitan dapat makanan dan minuman. Mendagri pun bantah adanya penjarahan oleh warga di Palu. https://t.co/Ijy8y3s6ey,-23,negative
Secara radikal dan membabi buta FPI menyerang warga korban gempa dan tsunami Palu Bahan Pangan dan obat-obatan #ilovefpi,-10,negative
️Strong #earthquake (#gempa) ML=5.0 - 38 KM North of #Palu #Indonesia. Depth: 11 KM. More info at: https://t.co/FGDYybdHJ9 |&lt;. #EQVT #quake #GempaBumi #aardbeving #seísmo #sismo #temblor #terremoto. Did you feel this earthquake? Tell us!. https://t.co/CILUDV6xPV,-3,negative
regran_ed from kwldjpsuluttenggomalut - Tim ke-2 dari KPP Pratama Tolitoli berangkat ke Palu membawa bantuan logistik untuk korban bencana gempa dan tsunami di Palu Donggala dan https://t.co/WLBU3iauGD,-12,negative
@Informasi_FPI @BNPB_Indonesia @Sutopo_PN @jokowi Ada kontak bapak yg divideo itu kah? Salah satu keluarga kami korban Gempa Palu ada di RS Undata saat ini. Minta tolong konform. Terimakasih,-3,negative
Gempa dan tsunami Palu: Jokowi umumkan Indonesia terbuka bagi bantuan internasional https://t.co/4De5b5XxnC https://t.co/9QFsnq9YOe,-2,negative
Gempa dan tsunami Palu: Alat berat berdatangan upaya evakuasi di Hotel Roa-Roa kian intensif https://t.co/VCYpBTbQgb https://t.co/r5DdRKHCzw,-5,negative
GEMPA PALU-DONGGALA: Berikut Bantuan yang Diprioritaskan Kemenkes https://t.co/vZAxqRfSSg https://t.co/dmRQBUoO4F,-5,negative
Panglima TNI : Doa Bersama untuk Pahlawan Revolusi dan Korban Gempa Palu: JAMBIEXPRESS JAKARTA TIMUR Tabligh Akbar dan Doa Bersama ini dilaksanakan dalam rangka HUT ke-73 TNI dan mendoakan Pahlawan Revolusi yang telah gugur dalam mempertahankan https://t.co/XQkwMfQz5l https://t.co/3rEgOPvhRh,-1,negative
Selamat dari Gempa dan Tsunami Palu Perempuan Ini Lahirkan Bayi di Tenda Pengungsian https://t.co/9OvOV3oK10,-3,negative
@masterjejeng @Ninanyadia @alvinlie21 @jokowi Lu yg goblok dah tentu di atas bahas gempa Palu Donggala susah debat sm cebong goblok.,-9,negative
Tak ada penjarahan di palu yg ada warga korban gempa hanya mengambil makanan dan minuman di toko !!! Tapi tokonya tutup pemiliknya ngungsi tokonya di buka paksa apa bukan penjarahan namanya ??? Videonya bertebaran masih juga ngeles ampun dah !! Sontoloyo,-23,negative
Mengkaitkan gempa-tsunami Palu dengan politik itu gak manusiawi lho. Mbok daripada nggosip gitu ngewangi sing kena bencana po nyumbang apa gt. Action please not only talk ,-11,negative
Gempa terus berjalan di Palu apakah tidak ada analisa dari para ahli bahwa ini dapat memicu liquidisasi dsb.,-5,negative
Ini Dia 18 egara yang Tawarkan Bantuan Penanganan Gempa dan Tsunami Palu https://t.co/oAojyUQK6C https://t.co/a0Eh1DgBNE,-5,negative
Gw turut berdukacita atas meninggalnya alm Om Petra Mandagi yg merupakan sahabat alm nyokap gw di dunia terjun payung Indonesia. Alm om Petra meninggal ketika kejadian gempa dan tsunami di Palu beberapa hari yg lalu. Semoga alm sudah tenang di surga https://t.co/5W2PL7tvw8,-4,negative
Ya ampun 6 menit yang lalu palu gempa lagi https://t.co/lom2EBCMOq,-3,negative
@null Trump Ucapkan Belasungkawa atas Gempa Palu Siap Bantu RI Presiden Amerika Serik https://t.co/S1vj78dMQN,-4,negative
@null Trump Ucapkan Belasungkawa atas Gempa Palu Siap Bantu RI Presiden Amerika Serik https://t.co/RbGVB20jbW,-4,negative
@null Trump Ucapkan Belasungkawa atas Gempa Palu Siap Bantu RI Presiden Amerika Serik https://t.co/nZnoGbew7r,-4,negative
@null Trump Ucapkan Belasungkawa atas Gempa Palu Siap Bantu RI Presiden Amerika Serik https://t.co/9m0JKsm9qR,-4,negative
@null Trump Ucapkan Belasungkawa atas Gempa Palu Siap Bantu RI Presiden Amerika Serik https://t.co/JqRzvwSQNV,-4,negative
@null Trump Ucapkan Belasungkawa atas Gempa Palu Siap Bantu RI Presiden Amerika Serik https://t.co/u8zIBFEdAj,-4,negative
@null Trump Ucapkan Belasungkawa atas Gempa Palu Siap Bantu RI Presiden Amerika Serik https://t.co/a3J27x4fxi,-4,negative
@null Trump Ucapkan Belasungkawa atas Gempa Palu Siap Bantu RI Presiden Amerika Serik https://t.co/rq1Kq4K8n0,-4,negative
Kesaksian Pilot Batik Air Capten Ricoseta Mafella Lolos dari Gempa &amp; Tsunami Palu bicara kisah terbang sebelum gempa di Palu Sulawesi Tengah. Mas Anthonius Gunawan Agung petugas ATC di Bandara Mutiara Sis Al Jufri Palu. sebagai guardian angel https://t.co/5VqtFyIeaE,-5,negative
Ya Allah kuatkanlah sodara2 korban gempa di Palu. Letakkanlah akal sehat dan tahanlah sesuatu yang buruk penjarahan maupun mengambil yang bukan haknya. Serta berilah kesabaran dan ketabahan yang melimpah... https://t.co/TcE7TEDCoD,-15,negative
Palu: Tsunami dan gempa 844 meninggal dunia pengungsi kesulitan sembako dan air bersih - BBC Indonesia https://t.co/hU3Y0Y4QA4,-7,negative
@masterjejeng @Ninanyadia @alvinlie21 @jokowi Lu yg goblok dah tentu di atas bahas gempa Palu Donggala susah debat sm cebong goblok.,-9,negative
Kapolsek Keera Iptu Nasrul S.Sos bersama anggota melaksanakan giat memberikan arahan kepada Komunitas Pemuda SUTER FRAME Kec. Keera yg akan melaksanakan penggalangan dana untuk korban Gempa dan Stunami Palu Donggala Sulteng. https://t.co/U61l15Klrh,-9,negative
3 bencana di palu sigi dan dinggala 1. Gempa 2. Tsunami 3. Amblasnya ribuan rumah pendududuk tergulung lumpur sedalam 5 meter Ya Allah membayangkan saja tak mampu #savepalu #DukaPaluTeguranKita,-5,negative
Tidak Benar Palu Dan Donggala Akan Diguncang Gempa Lebih Dahsyat https://t.co/kxFwhVJK3f lewat @repelitaonline,-3,negative
SEMOGA BANYAK DITEMUKAN HAL BARU YANG DAPAT MENGURANGI DAMPAK GEMPA DAN TSUNAMI Para ilmuwan dunia menyatakan kekagetan atas dahsyatnya terjangan tsunami di Palu Sulawesi... https://t.co/LHQkmHplsj,-5,negative
Dari Berbagai Provinsi Mata Garuda Galang Bantuan untuk Korban Gempa di Palu dan Donggala: Gempa bumi dan Tsunami yang mengguncang Palu Donggala serta kawasan sekitarnya di Sulawesi Tengah membuat hati banyak orang terketuk. https://t.co/r6L7KFyCMn via @portalSURYA https://t.co/0wPaReEJAn,-2,negative
Turut berduka RT @korantempo: Korban Gempa Palu Dua Jenazah Atlet Paralayang Ditemukan https://t.co/vjm6aOhjQ1,-5,negative
https://t.co/rkMebAsLzl - Di sosial media sedang viral dibincangkan status fb menantang Tuhan dengan gempa demi junjungan yang didukungnya. Sang Ibu Bangsa yang berasal dari Palu ini membuat status pada tgl 22... https://t.co/K0wTmMmNUG,-16,negative
@MbahUyok JKW didampingi TGB (30.7.2018) 》Masing2 rmh yg rusak brt akn diberikan dn sbsr Rp 50 jt NYATANYA....? 》Kini Korban Gempa Lombok msh Nunggu janji blm di TEPATI. Apkh Gempa Palu akn hadapi nasib yg SAMA? 》mudh2an amanah.. 》kita tunggu ALUR ceritanya.. #2019PrabowoSandi,-2,negative
@JGD_Subang Catatan : Sumbangan untuk Gempa Palu &amp; Donggala ditandai dengan angka 28 dibelakang nominal jumlah uang yang ditransfer. Contoh : Sumbangan 500.028 Lumbung Amal GUSDURian Sorowajan RT 08 Banguntapan Bantul Yogyakarta Narahubung : Mukhibullah 0857-3332-3883,-5,negative
Mari bergandengan tangan support kerja nyata #SolidaritasKemanusiaan bagi korban gempa &amp; tsunami di Palu Donggala dan sekitarnya melalui https://t.co/iLNhg7T5vG Lihat info apa yang saya bagikan: Kitabisa! - BANTU JARINGAN RELAWAN KEMANUSIAAN INDONESIA (JRKI),-4,negative
Saya kira hanya gempa dan tsunami yang menimpa kota Palu teryata ada satu lagi bencana yaitu tanah longsor akibat lumpur yang menyembur dari dalam bumi tanah terbelah dan anjlok .. Hingga menenggelamkan satu... https://t.co/prUyHDpD23,-26,negative
KABAR PALU Sy wahyuniarti sugianto sekeluarga dan teman2 korban gempa palu sulteng butuh bantuan sembako.air minum n selimut susu formula dan pampres bayi.. lokasi lapangan Faqih Rasyid palu sulteng @Metro_TV @tvOneNews @KompasTV @OfficialiNewsTV @SC5VI3bQnqCpywu,-9,negative
@daniaty_annisa FPI sudah di Palu membantu korban Gempa Nah Elu msh sibuk nyerang sana sini dgn argumen IQ 200 sekolam butek,-9,negative
Peta sebaran posko gempa tsunami Palu Donggala. Silahkan dibagikan bagi relawan dan yg membutuhkan. https://t.co/dY5IJlj3An,-1,negative
Makanya jgn khawatir kalau sudah TNI yg menjaga situasi di lokasi bencana khususnya di kota Palu berikut Donggala siapa yg berani menjarah harta Rakyat korban gempa apalagi diberlakukan ' jam malam plus patroli siang ya pasti aman dari maling /penjarah #SaveSulteng,-11,negative
Gempa dan Tsunami Palu jadi pesan dan isyarat bahwa kita adalah makhluk yang ringkih (lemah rapuh tak berdaya). Jadi jangan sombong. Sok kuasa dan merasa kuat. Perhatikanlah ! Preman tahan bacok sekalipun pernah dikabarkan mati diujung cubitan seekor nyamuk.,-16,negative
Masjid di Palu Ini Dilaporkan Bergeser Sejauh 500 M karena Gempa https://t.co/VC7QN5dunw https://t.co/wYDJLHOiCR,-3,negative
@vhariant29Asli @Saridee2 @rezim_boneka @Ra_Ria_Rana @tawajkt @HERALDI14 @esti_upay Dalam kejadian Gempa dan Tsunami di Palu diantara dua kalimat tersebut bisa menyatu untuk mencapai klimaks dari syahwat nafsu penguasa.. Narasi yang dibangun dgn membenturkan rakyat vs rakyat yang di skenario kan oleh penguasa,-23,negative
Warga mana? Yakin mrk adalah yg terkena dampak gempa Palu? Yakin kl mrk bukan perusuh? Coba @DivHumas_Polri cek dg baik...,-6,negative
@IyutCintaJokowi @maspiyuuu @jokowi Kasian Puan bingung apa yg hrs dilakukan pada kejadian gempa&amp;tsunami Palu Sulteng,-5,negative
Ya Allah kuatkanlah sodara2 korban gempa di Palu. Letakkanlah akal sehat dan tahanlah sesuatu yang buruk penjarahan maupun mengambil yang bukan haknya. Serta berilah kesabaran dan ketabahan yang melimpah https://t.co/6UVNeHCsYx,-15,negative
Korban Gempa Banyak yang Patah Tulang Menkes Kirim Tim Ortopedi ke Palu via @KampoengUpdate https://t.co/mDPQZAnZmk,-5,negative
Ini Nomor Telepon yang Bisa Dihubungi untuk Cari Keberadaan Keluarga Korban Gempa Palu https://t.co/J5wCURTo6Y,-5,negative
Berapapun donasi yang anda sumbangkan untuk korban gempa &amp; tsunami di palu dan sekitarnya itu lebih berguna ketimbang POLATAK - POLITIK - POLATAK.,-2,negative
Abis liat video2 gempa n tsunami di Palu w jadi mikir belum kiamat aja begitu apalagi kalau kiamat ,-3,negative
Info gempa palu bagi relawan yang membawa logistik dari sulawesi barat atau tengah menuju palu. harap melepas segala baliho atribut dan agar berkamuflase supaya menghindari cegatan yg tidak diinginkan #gempapalu #GempaSulteng #palu #indovwt322,-27,negative
Tim Basarnas dan TNI menemukan korban gempa Palu yang selamat. Korban bernama Sapri Nusin sebagai manajer Mandala Finance. Korban terjebak di beton gedung kantornya yang ambruk. https://t.co/LwMfOCnItn,-9,negative
Hai Korang Apa khabar ? Syukur masih diberi nikmat kehidupan . Luangkan beberapa saat untuk mendoakan agar mangsa gempa/tsunami di Palu dan Donggala yang terselamat diberi kekuatan untuk meneruskan kehidupan .... https://t.co/4S1H8k5tR5,-2,negative
RT cakimiNOW Terimakasih Pak Presiden jokowi yang selalu tanggap dan ringan tangan cepat ambil alih keadaan salut dan hormat saya Pak ! Tak kusangka separah itu gempa di Palu dan sekitarnya semoga semua sabar dan segera teratasi Amiiin https://t.co/eQLuObZt8g ,-4,negative
@VIVAcoid Gak usah datang gpp dah cukup yg bantu menanganin masalah gempa di palu dan Donggala. Fokus kampaye aja agar nyungsep gak terlalu sakit..,-23,negative
Info gempa palu Bantuan logistik dari polda Gorontalo dapat mengantarkan kantong jenazah di korem 132 tadulako #gempapalu #GempaSulteng #palu #indovwt322,-2,negative
Semua bantuan internasional untuk korban gempa dan tsunami PALU dan Donggala harus open manajemen agar tdk menimbulkan dugaan di korupsi.atau disalahgunakan oleh Otoritas berwenang ? #SaveSulteng,-11,negative
Assalammu'alaikum warohmatullahi wabarokatuh DUKA DONGGALA DUKA KITA BERSAMA Keluarga besar *ANAK TEKNIK INDONESIA* turut berduka atas terjadinya gempa bumi yang menimbulkan tsunami di PALU dan DONGGALA yang terjadi pada Jumat 28 September 2018 pukul 17:32 waktu setempat. https://t.co/sjHhkrQAGc,-16,negative
Alhamdulillah bahan makanan dan alat-alat berat dari @adhikaryaID sudah mulai membantu pemulihan bencana gempa di Palu Sulawesi Tengah ~ @PEDOMAN_id @Jokowinomics_id #PrayForPalu #PrayForDonggala #United4Palu #PrayForSulteng @KemenPU @KemenBUMN https://t.co/1LcxUZZRLN,-2,negative
Terimakasih Pak Presiden @jokowi yang selalu tanggap dan ringan tangan cepat ambil alih keadaan salut dan hormat saya Pak ! Tak kusangka separah itu gempa di Palu dan sekitarnya semoga semua sabar dan segera teratasi Amiiin,-4,negative
Bandara Palu Sulawesi Sebelum Gempa ( CAPTAIN VIEW ) Airbus A320 Palu Night Landing - by Vincent Raditya ( B... https://t.co/5dcQvoppkO lewat @YouTube,-3,negative
Cerita Aktor Ray Sahetapy yang Tak Kuat Teringat Kampung Halaman Karena Gempa Palu-Donggala https://t.co/kngjUGRZCa,-5,negative
Jika Bencana Gempa Lombok Gempa dan Tsunami Palu ditetapkan sebagai BENCANA NASIONAL maka akan membuat malu pemerintahan pak @jokowi di mata dunia jika tetap melaksanakan pertemuan IMF - WB. Sedangkan pertemuan itu (mungkin) sangat penting bagi Pak Jokowi dan jejerannya .,-8,negative
Alhamdulillah alat-alat berat dari @adhikaryaID sudah mulai membantu pemulihan bencana gempa di Palu Sulawesi Tengah ~ @PEDOMAN_id @Jokowinomics_id #PrayForPalu #PrayForDonggala #United4Palu #PrayForSulteng @KemenPU @KemenBUMN https://t.co/3CQ8QYWRX7,-2,negative
Alhamdulillah alat-alat berat dari @adhikaryaID sudah mulai membantu pemulihan bencana gempa di Palu Sulawesi Tengah ~ @PEDOMAN_id @Jokowinomics_id #PrayForPalu #PrayForDonggala #United4Palu #PrayForSulteng @KemenPU @KemenBUMN https://t.co/zqHDrFq0w9,-2,negative
Alhamdulillah alat-alat berat dari @adhikaryaID sudah mulai membantu pemulihan bencana gempa di Palu Sulawesi Tengah ~ @PEDOMAN_id @Jokowinomics_id #PrayForPalu #PrayForDonggala #United4Palu #PrayForSulteng @KemenPU @KemenBUMN https://t.co/0wETfSlC99,-2,negative
PM Jepang Ucapkan Belasungkawa atas Gempa Bumi dan Tsunami Palu-Donggala Ini yang akan Dilakukan https://t.co/unHnGOefnM https://t.co/5J2tCtbZxM,-9,negative
Bantuan terlambat datang korban tsunami 'jarah' toko demi sembako: Korban gempa dan tsunami di Palu 'menjarah' toko dan supermarket demi mendapatkan sembako karena bantuan dari pemerintah tak kunjung datang. https://t.co/iahdv2lt2J,-10,negative
Bantuan terlambat datang korban tsunami 'jarah' toko demi sembako: Korban gempa dan tsunami di Palu 'menjarah' toko dan supermarket demi mendapatkan sembako karena bantuan dari pemerintah tak kunjung datang. https://t.co/7XCOhJvZXt,-10,negative
Peduli Gempat Palu Penyandang Disabilitas Lelang Batik Ciprat https://t.co/0HRn0KdDsj- Bencana gempa bumi dan tsunami yang melanda wilayah Palu dan Donggala Sulawesi Tenggara menjadi keprihatinan semua elemen masyarakat. https://t.co/QEVZ60PnAI https://t.co/stT1iuXX9m,-5,negative
@vhariant29Asli https://t.co/ixO5tMbgBP.. Ini salah satunya pernyataan pihak kemdagri tentang Gempa dan Tsunami di palu.. Tidak ada satupun pernyataan penguasa yang bisa jadi pegangan buat rakyat.. Dari media pro penguasa,-12,negative
Cerita Aktor Ray Sahetapy yang Tak Kuat Teringat Kampung Halaman Karena Gempa Palu-Donggala https://t.co/4RqDrArhOr,-5,negative
Penanganan pasca gempa &amp; tsunami di palu donggala &amp; sigi oleh semua unsur berjalan baik. Tetap semangat. Ayoo ulurkan tangan guna meringankan beban para korban,-3,negative
Dan terjadi lagi penjarahan sumbangan untuk sesama korban gempa. #cemilcomel #gempa #gempapalu https://t.co/FLDsQgJBBZ,-4,negative
Tiga bocah terpisah dengan orangtuanya pasca gempa 7 4 SR di Palu. Yusman Nadia dan Asep adalah tiga bersaudara yang menunggu kabar orangtuanya. https://t.co/i8URU6qMPt,-10,negative
@ipuulalam @ghozie99 @Hilmi28 Jadi benar fotonya hoax karena bukan/tidak menggambarkan kejadian gempa di palu?,-5,negative
2. Kaum #KoalisiPlastik itu justru membuat narasi baru untuk menyerang Jokowi yang sedang fokus menangani bantuan untuk korban Gempa dan Tsunami di Palu Donggala dan sekitarnya. Narasi mereka Dibohongi Ratna Sarumpaet saja kita tidak terima apalagi dibohongi pemimpin ,-22,negative
Posko Bantuan Kemanusiaan korban Gempa dan Tsunami Palu dan Donggala untuk Wilayah Kab. Takalar di pusatkan di Makodim 1426/Takalar dari berbagai instansi dan masyarakat sangat antusias dalam mengumpulkan bantuan kemanusiaan dibantu oleh anggota Kodim 1426/Takalar. https://t.co/YhkXGCkJWp,-5,negative
@Airin_NZ @hanumrais @Sarah_Pndj @RizmaWidiono @P3nj3l4j4h @muannas_alaidid @HusinShihab @CH_chotimah @ApriliaLin @04Nakula Saat negara dalam kondisi berduka mereka tetep menyebar hoax. Mental mereka seperti para penjarah korban gempa Palu itu. Semoga polisi segera mengusut perbuatan fitnah mereka...,-6,negative
@bangsa_pahlawan Biarkan beliau bekerja Merapi kan bekas musibah gempa dan Sunami di Palu dan Donggala... Capres di Jakarta sibuk konpres minta maaf atas kecerobohan nya....,-10,negative
Seninggu berlalu musibah Gempa / Tsunami di Palu dan Donggala... diharapkan sdh pulih hari ini sesuai petunjuk baginda....,-7,negative
Di dalam grup pada ribut beragumen yang dihubungkan dengan kejadian Gempa &amp; Tsunami di Donggala dan Palu Sulawesi Tengah. Yang bikin ngakak mereka percaya aja kalau gambar iluminati itu ada di Palu dan akan di resmikan. Namun saat akan diresmikan malah kena bencana ...,-18,negative
==ITS Peduli Palu== Bapak/Ibu sekalian yang kami hormati Bencana alam gempa bumi dan tsunami yang telah menimpa saudara kita di Palu Sulawesi Tengah telah meninggalkan duka yang https://t.co/Wqi5Ji9gwP,-18,negative
I liked a @YouTube video https://t.co/FDtC4ptYN0 'Saya Boleh Ikut Tidak' Tanya Bocah yang Ibunya Meninggal karena Gempa Palu kepada,-8,negative
Cerita Haru Jokowi Temui Bocah Pemberani Korban Gempa Palu: Ada sepenggal momen haru dan sedih ketika Presiden Joko Widodo (Jokowi) mengunjungi lokasi gempa di Palu Sulawesi Tengah. https://t.co/430r6EIl9F https://t.co/hZAs9f6kui,-1,negative
@ratnadewikw @kaesangp Mas mungkin akan sangat mulia klu dibuatkan kue pisang dlm jumlah yg banyak untuk para pengungsi korban gempa bumi di palu dan sekitarnya....,-1,negative
@Ronnie_Rusli Harus diproses hukum dong. Dia bikin hoax dan dampaknya se-Indonesia jadi gaduh. Yg lebih parah dia merugikan dan mempermalukan kubu Prabowo-Sandi juga mengalihkan perhatian kita dari gempa tsunami di Palu.,-12,negative
Hari ini umurku bertambah satu tahun tepat seminggu pasca gempa dan tsunami di kota palu ini. ALLAH masih menggenapkan umurku menjadi 29 tahun. tak banyak doa yang bisa ku minta disetiap shalat ku. hanya... https://t.co/5AzkIrVjVb,-2,negative
Motor Tetangga Selamatkan Fitria dan Keluarga dari Gempa Palu... - https://t.co/Qh50antEt0 https://t.co/XzvXNFRwHG,-3,negative
Hari Kelima Pasca Gempa Sebagian Lampu Jalan di Palu Sudah menyala https://t.co/mokwyJMLAz lewat @makassarterkini,-3,negative
Jumlah fasilitas MCK di berbagai lokasi terdampak gempa dan tsunami di Palu dan Donggala sangat terbatas. Jika persoalan sanitasi tak segera ditangani para pengungsi dikhawatirkan terjangkit berbagai wabah penyakit #PrayforPalu #PrayforDonggala https://t.co/ecI5YxN0hR,-4,negative
@kompascom Kalo kubu Jokowi ini yg melakukan langsung rombongan Fadli Zon akan membuat gerakan pemakzulan Presiden dan demonstrasi berjilid jilid chaos terjadi dan akhirnya kubu mereka menjadi penguasa. Pemerintah lagi fokus penanganan musibah gempa dan tsunami di palu dibilang pencitraan,-1,negative
IMARET buka klinik 30 minit dari Pusat Gempa Palu https://t.co/Hi7jGqEIx1 https://t.co/4ia0mUAaUn,-3,negative
Ginian digoreng terus. Bagus klean bertindak lebih utk Palu. Dampak &amp; korbannya lebih besar dari Gempa Lombok.,-3,negative
PMII kebumen menylenggarakan mengumpulkan donasi utk korban gempa&amp;tsunami di Donggala ...Palu....Sulteng,-1,negative
@VIVAcoid Hahahaha... Klo FPI yg membantu menangani korban gempa palu dibilang hoax sama penguasa...,-2,negative
Yess.... Terus berjuang pak sampai hukum ditegakkan... Saya gemes banget mereka tega disaat Indonesia berduka dengan korban gempa di palu dan presiden @jokowi sedang fokus bekerja sempet2 nya bikin fitnah dan rusuh,-17,negative
jenazah korban gempa di TPU Poboya Indah Poboya Palu https://t.co/n7ov14dGDO,-4,negative
Stasiun pengamatan pasut BIG di Pelabuhan Pantoloan Palu ternyata tidak rusak dan masih bisa beroperasi. Jadi terhentinya aliran data saat gempa diakibatkan karena rusak/terganggu nya jaringan komunikasi saat tersebut. https://t.co/S9n6aaXTyp,-11,negative
Fitria yang sudah 10 bulan menetap di Kota Palu untuk mengikuti suaminya tidak menyangka ikut merasakan dahsyatnya gempa Sulawesi Tengah. https://t.co/8L5Zt0vRTW,-3,negative
Penanganan Bencana Gempa Palu yang Dirumitkan Aksi Penjarahan https://t.co/8M4r3X90Cw,-5,negative
Yg pnya point di tokped atau cashback yg g https://t.co/Has66Wkidh di sumbangkan ke korban gempa bumi palu tuh lumahan tuk meringakan beban saudar2 qta di sana,-5,negative
Semua mata dan perhatian kita sedang tertuju pada musibah gempa dan tsunami di palu eh ini si nenek sibuk buat hoax dan tolol nya lagi si kardus percaya aja tuh dasar bintang kardus.....,-13,negative
Terima kasih Pak @jokowi atas pengertiannya Utk membantu korban gempa Palu dan Donggala pemerintah telah menyiapkan 30 helikopter hingga kapal pesiar. Begitu istimewanya lintah darat bagi rezim jkw shg penyambutannya luar biasa #2019GantiPresiden https://t.co/TAlohfU6bK,-11,negative
@GusIpul_ID Yung Allah Gus suwe ora metu metu pisan nylathu. Ada gempa Lombok dan Palu membisu paling malah mbatin Sing Kuoso mbales no loro ati ku. ,-2,negative
